ds,yhat,yhat_lower,yhat_upper
2024-01-01,28.685062338030654,26.917683851190585,30.348192718105548
2024-01-02,28.308432365126365,26.527501548540542,30.159957316871605
2024-01-03,28.506356513197044,26.857212622530245,30.285105329241055
2024-01-04,28.348418405754902,26.538925357229438,30.139916782483244
2024-01-05,28.193657810985382,26.45902322393181,29.994366642649407
2024-01-06,28.24075009024929,26.54147562511994,29.99353144315611
2024-01-07,28.372399601069564,26.634986406666172,30.173876587470655
2024-01-08,28.62598343315572,26.7900463520477,30.353572256971848
2024-01-09,28.294367145405644,26.51479254185662,29.9851198158472
2024-01-10,28.538577811164718,26.66450801909727,30.237798870360272
2024-01-11,28.426892252459915,26.75260854829656,30.248378401545537
2024-01-12,28.317034622443614,26.708440529992632,30.01113626798443
2024-01-13,28.406391188292332,26.636287381626012,30.17150637784616
2024-01-14,28.57643840385175,26.913980689373783,30.3423000456979
2024-01-15,28.863419720723567,27.11566664163778,30.7155159300178
2024-01-16,28.55919192026366,26.798068009916655,30.229755023365126
2024-01-17,28.823925456390654,27.10761394142057,30.552896440130446
2024-01-18,28.725215962774357,26.991125050088318,30.50950099017523
2024-01-19,28.620300466049212,26.672095861130074,30.3893245953411
2024-01-20,28.706285665707266,26.797036581580265,30.53918806792789
2024-01-21,28.864584017317334,27.149333007421983,30.67604177314121
2024-01-22,29.131592863091278,27.32667472942111,30.955197376618756
2024-01-23,28.799537340649913,27.02232879119165,30.602223648992688
2024-01-24,29.029161662166263,27.315706086354083,30.771218075949932
2024-01-25,28.888826170250063,27.083934784131568,30.66283714332034
2024-01-26,28.73670410817819,27.064697153528975,30.560759656415268
2024-01-27,28.77098599291875,27.093086282000495,30.519902628411735
2024-01-28,28.874287972467823,27.187727879713485,30.678937271358617
2024-01-29,29.084300155530496,27.314227924368776,30.867743368252093
2024-01-30,28.694596467057625,26.876383738930688,30.454529415242956
