ds,yhat,yhat_lower,yhat_upper
2019-10-03,18.937559466401876,18.03291886095072,19.872473441656
2019-10-04,18.757609375238086,17.892279029433496,19.72379319290668
2019-10-05,18.762686734815258,17.764717113350205,19.612938655970936
2019-10-06,18.128857251234034,17.263700441488457,19.093360518012428
2019-10-07,18.2508014929574,17.33038458180699,19.19190732438813
2019-10-08,18.288794171897543,17.369719742539445,19.171072808542714
2019-10-09,18.265754639234626,17.374543467542747,19.191346534223385
2019-10-10,18.343230155057245,17.432227114123727,19.229203667060574
2019-10-11,18.163280063893097,17.2170873630454,19.106900324725647
2019-10-12,18.168357423470773,17.23481898950998,19.09405410151258
2019-10-13,17.534527939889507,16.585977406840875,18.50715765071005
2019-10-14,17.656472181613246,16.731834761684222,18.597436899685693
2019-10-15,17.694464860552998,16.76156548998391,18.657160059118105
2019-10-16,17.67142532789045,16.701072177973682,18.62630969780066
2019-10-17,17.74890084371261,16.785710213071138,18.745592280677975
2019-10-18,17.56895075254772,16.55648703746001,18.476995376058426
2019-10-19,17.574028112125664,16.622872100997252,18.57951334500068
2019-10-20,16.940198628544152,15.893276191010512,17.882470953956393
2019-10-21,17.062142870267195,16.07734038689219,18.047099326404172
2019-10-22,17.100135549207536,16.081181566345904,18.05083836177035
2019-10-23,17.077096016545358,16.027961650327757,18.053878527122567
2019-10-24,17.15457153236775,16.048426893913344,18.15306438837249
2019-10-25,16.974621441203155,15.884345393674856,18.01233304802478
2019-10-26,16.979698800780547,15.839189080407095,18.109580719049937
2019-10-27,16.3458693171988,15.21095351243128,17.522119468071313
2019-10-28,16.467813558922636,15.345867186418506,17.618636360252736
2019-10-29,16.50580623786356,15.354033823462533,17.619076122819333
2019-10-30,16.48276670520028,15.260874355090554,17.660635388259738
2019-10-31,16.560242221022403,15.278738527449203,17.752629401022492
2019-11-01,16.380292129858205,15.096032017326817,17.599510379752758
