ds,yhat,yhat_lower,yhat_upper
2019-10-03,18.937559466401876,17.98542108753848,19.804830405750916
2019-10-04,18.757609375238086,17.774113445607615,19.671642964071452
2019-10-05,18.762686734815258,17.80107993309254,19.592824664741645
2019-10-06,18.128857251234034,17.17362032545682,18.987410283375898
2019-10-07,18.2508014929574,17.31768724019577,19.140316189947683
2019-10-08,18.288794171897543,17.300920476394822,19.16617235669822
2019-10-09,18.265754639234626,17.365245686269887,19.10908794316379
2019-10-10,18.343230155057245,17.409120413676433,19.30681433804377
2019-10-11,18.163280063893097,17.199540925405522,19.10296036857918
2019-10-12,18.168357423470773,17.241772713450697,19.122026967752312
2019-10-13,17.534527939889507,16.61727486339605,18.477108775014912
2019-10-14,17.656472181613246,16.70146228432272,18.616372529932352
2019-10-15,17.694464860552998,16.820201052065926,18.619405671328007
2019-10-16,17.67142532789045,16.682334957806944,18.66116860330009
2019-10-17,17.74890084371261,16.837689548743857,18.690116837657367
2019-10-18,17.56895075254772,16.624758780930833,18.501398980643796
2019-10-19,17.574028112125664,16.631691624015588,18.561923840669518
2019-10-20,16.940198628544152,15.928463692351617,17.89932479393534
2019-10-21,17.062142870267195,16.126641093916035,18.0934864254051
2019-10-22,17.100135549207536,16.054292702567654,18.066698640527108
2019-10-23,17.077096016545358,16.05002220343413,18.117756259154383
2019-10-24,17.15457153236775,16.177202976338634,18.21645013866882
2019-10-25,16.974621441203155,15.84578245480325,18.045872533346817
2019-10-26,16.979698800780547,15.898311875399399,18.06422965122696
2019-10-27,16.3458693171988,15.249982573942804,17.41300755411165
2019-10-28,16.467813558922636,15.426460590685874,17.552782223975928
2019-10-29,16.50580623786356,15.411745958745714,17.70507579904795
2019-10-30,16.48276670520028,15.27696425084492,17.676651196772127
2019-10-31,16.560242221022403,15.34852310070075,17.800220157023613
2019-11-01,16.380292129858205,15.196771585281152,17.55777896073389
